Characteristic;Category;Distribution;Dataset;Scope;URL;Index;explanation
Nationality;Non-citizen (other regions);2;INSEE – Étrangers - Immigrés en 2020;arrondissement;https://www.insee.fr/fr/statistiques/7633727?geo=ARR-422;4-4;Approximation basée sur la distribution typique des immigrés en France (33% autres), adaptée à l'arrondissement.
Occupation;Farmers;0;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;1-1;Pourcentage d'agriculteurs, tel que publié.
Occupation;Artisans/Traders;3.4;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;2-2;Pourcentage d'artisans et commerçants, tel que publié.
Occupation;Professionals/Intellectuals;9.0;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;3-3;Correspond à 'Cadres et supérieurs' (8 %), tel que publié.
Occupation;Intermediate occupations;14.6;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;4-4;Correspond à 'Professions intermédiaires' (13 %), tel que publié.
Occupation;Employees;14.6;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;5-5;Correspond à 'Employés' (13 %), tel que publié.
Occupation;Laborers;10.1;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;6-6;Correspond à 'Ouvriers' (9 %), tel que publié.
Occupation;Unemployed;4;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;7-7;Pourcentage de chômeurs (7.8 % de la population active 46.6%), soit environ 3.6% (normalisé).
Occupation;Retired;30.3;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;8-8;Correspond à 'Retraités' (27 %), tel que publié (normalisé).
Occupation;Inactive;13.5;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Gare);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-gare/;9-9;Le restant de 'Autres' après soustraction des chômeurs, soit environ 12.4% (normalisé).
Ideology;Left;31;Résultats élection présidentielle 2022;commune;https://www.leprogres.fr/elections/resultats/election-presidentielle-2022?commune=42187;1-1;Approximation basée sur la somme des votes pour les candidats de gauche au 1er tour (Mélenchon 21.61%, Jadot 3.73%, Hidalgo 2.03%, Roussel 2.91%, Arthaud 0.62%, Poutou 0.6%), utilisé comme proxy pour le quartier Gare.
Ideology;Central;29;Résultats élection présidentielle 2022;commune;https://www.leprogres.fr/elections/resultats/election-presidentielle-2022?commune=42187;2-2;Correspond aux votes pour Macron (29.32%), utilisé comme proxy pour l'idéologie centrale dans le quartier Gare.
Ideology;Right;36;Résultats élection présidentielle 2022;commune;https://www.leprogres.fr/elections/resultats/election-presidentielle-2022?commune=42187;3-3;Approximation basée sur la somme des votes pour les candidats de droite au 1er tour (Le Pen 22.24%, Zemmour 7.6%, Pécresse 4.58%, Dupont-Aignan 2.05%), utilisé comme proxy pour le quartier Gare.
Ideology;Non-ideological;4;Résultats élection présidentielle 2022;commune;https://www.leprogres.fr/elections/resultats/election-presidentielle-2022?commune=42187;4-4;Approximation basée sur les votes pour Lassalle (2.71%) et votes blancs/nuls, utilisé comme proxy pour le quartier Gare.
Ethnicity;No migration background;90;INSEE – Étrangers - Immigrés en 2020;arrondissement;https://www.insee.fr/fr/statistiques/7633727?geo=ARR-422;1-1;Approximation basée sur les données d'immigration de l'arrondissement de Roanne (proxy pour le quartier).
Ethnicity;Origin Europe;3;INSEE – Étrangers - Immigrés en 2020;arrondissement;https://www.insee.fr/fr/statistiques/7633727?geo=ARR-422;2-2;Approximation basée sur la distribution des origines immigrées.
Ethnicity;African Origin;5;INSEE – Étrangers - Immigrés en 2020;arrondissement;https://www.insee.fr/fr/statistiques/7633727?geo=ARR-422;3-3;Approximation basée sur la distribution des origines immigrées.
Ethnicity;Origin other regions;2;INSEE – Étrangers - Immigrés en 2020;arrondissement;https://www.insee.fr/fr/statistiques/7633727?geo=ARR-422;4-4;Approximation basée sur la distribution des origines immigrées.
MBTI;ISTJ;12.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;1-1;Proxy basé sur estimations typiques de distribution MBTI (moyenne des fourchettes US ajustée, pas de données spécifiques à la France ou au quartier).
MBTI;ISFJ;11.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;2-2;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;INFJ;2;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;3-3;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;INTJ;3;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;4-4;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ISTP;5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;5-5;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ISFP;7;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;6-6;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;INFP;4.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;7-7;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;INTP;4;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;8-8;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ESTP;4.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;9-9;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ESFP;6.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;10-10;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ENFP;7;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;11-11;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ENTP;4.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;12-12;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ESTJ;10;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;13-13;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ESFJ;11;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;14-14;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ENFJ;3.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;15-15;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ENTJ;3.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;16-16;Proxy basé sur estimations typiques de distribution MBTI.
