Characteristic;Category;Distribution;Dataset;Scope;URL;Index;explanation
Education;Associate Degree;18;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;4-4;Correspond à 'BAC+2' (18 %), tel que publié.
Education;Bachelor's degree or higher;30;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;5-5;Agrégation de 'BAC+3 ou +4' (15 %) et 'BAC+5 ou plus' (15 %) pour correspondre à la catégorie, tel que publié.
Income;Under 25000 €;55;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;1-1;Approximation basée sur le revenu moyen (19 815 €/an par habitant), ajusté par rapport au médian communal (18 930 € par UC) avec une part inférieure sous 25 000 € en raison du revenu moyen plus élevé.
Income;25 000-49 999 €;30;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;2-2;Approximation basée sur la distribution pour le quartier Centre Ville-Varenne.
Income;50 000-74 999 €;10;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;3-3;Approximation basée sur la distribution pour le quartier Centre Ville-Varenne.
Income;75 000-99 999 EUR;3;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;4-4;Approximation basée sur la distribution pour le quartier Centre Ville-Varenne.
Income;≥ 100000 €;2;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;5-5;Approximation basée sur la distribution pour le quartier Centre Ville-Varenne.
Place of residence;Urban;100;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;1-1;Quartier urbain dans la ville de Roanne.
Place of residence;Rural;0;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;2-2;Quartier urbain, pas de population rurale.
MaritalStatus;Single;45.1;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;1-1;Agrégation de 'Single' (35.7 %) et 'Cohabiting/union libre' (9.4 %) pour correspondre à la catégorie, utilisé comme proxy pour le quartier Centre Ville-Varenne.
MaritalStatus;Married/Civil Union;35.2;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;2-2;Agrégation de 'Married' (31.2 %) et 'PACSé' (4.0 %) pour correspondre à la catégorie, utilisé comme proxy pour le quartier Centre Ville-Varenne.
MaritalStatus;Divorced/Separated;10.4;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;3-3;Correspond à 'Divorced' (10.4 %), utilisé comme proxy pour le quartier Centre Ville-Varenne.
MaritalStatus;Widowed;9.3;INSEE – Recensement de la population (RP) 2022;commune;https://www.insee.fr/fr/statistiques/2011101?geo=COM-42187;4-4;Correspond à 'Widowed' (9.3 %), utilisé comme proxy pour le quartier Centre Ville-Varenne.
Householdsize;1 person;71;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;1-1;Correspond à 'Personnes seules' (71 %), tel que publié.
Householdsize;2 people;14;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;2-2;Correspond à 'Couples sans enfant' (14 %), approximation pour la catégorie.
Householdsize;3 or more people;15;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;3-3;Agrégation de 'Couples avec enfant(s)' (6 %), 'Familles monoparentales' (8 %) et 'Colocation / Autre' (2 %) pour correspondre à la catégorie (arrondi à 16 %, mais ajusté à 15 % pour total 100 %).
Nationality;French;90.6;INSEE – Étrangers - Immigrés en 2018;commune;https://www.insee.fr/fr/statistiques/5397763?sommaire=5397790&geo=COM-42187;1-1;Pourcentage de français dans la population de la commune de Roanne, utilisé comme proxy pour le quartier Centre Ville-Varenne.
Nationality;Foreign (Europe);3;INSEE – Étrangers - Immigrés en 2018;commune;https://www.insee.fr/fr/statistiques/5397763?sommaire=5397790&geo=COM-42187;2-2;Approximation basée sur la distribution typique des étrangers en France, adaptée au quartier (9.4 % étrangers total).
Nationality;Foreign (Africa);5;INSEE – Étrangers - Immigrés en 2018;commune;https://www.insee.fr/fr/statistiques/5397763?sommaire=5397790&geo=COM-42187;3-3;Approximation basée sur la distribution typique des étrangers en France (Afrique majoritaire), adaptée au quartier.
Nationality;Non-citizen (other regions);1.4;INSEE – Étrangers - Immigrés en 2018;commune;https://www.insee.fr/fr/statistiques/5397763?sommaire=5397790&geo=COM-42187;4-4;Approximation basée sur la distribution typique des étrangers en France, adaptée au quartier.
Occupation;Farmers;0;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;1-1;Pourcentage d'agriculteurs, tel que publié.
Occupation;Artisans/Traders;3.3;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;2-2;Pourcentage d'artisans et commerçants, tel que publié.
Occupation;Professionals/Intellectuals;8.9;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;3-3;Correspond à 'Cadres et supérieurs' (8 %), tel que publié.
Occupation;Intermediate occupations;13.3;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;4-4;Correspond à 'Professions intermédiaires' (12 %), tel que publié.
Occupation;Employees;10.0;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;5-5;Correspond à 'Employés' (9 %), tel que publié.
Occupation;Laborers;7.8;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;6-6;Correspond à 'Ouvriers' (7 %), tel que publié.
Occupation;Unemployed;2.2;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;7-7;Pourcentage de chômeurs basé sur le taux de chômage de 5.4% de la population active (39.4%), soit environ 2%.
Occupation;Retired;41.1;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;8-8;Correspond à 'Retraités' (37 %), tel que publié.
Occupation;Inactive;13.3;INSEE – Recensement de la population (RP) 2020, parution 2023 (quartier Centre Ville‑Varenne);local stat;https://www.bien-dans-ma-ville.fr/roanne-42187/quartier-centre-ville-varenne/;9-9;Le restant de 'Autres' après soustraction des chômeurs, soit environ 12%.
Ideology;Left;31;Résultats élection présidentielle 2022;commune;https://www.leprogres.fr/elections/resultats/election-presidentielle-2022?commune=42187;1-1;Approximation basée sur la somme des votes pour les candidats de gauche au 1er tour, utilisé comme proxy pour le quartier Centre Ville-Varenne.
Ideology;Central;29;Résultats élection présidentielle 2022;commune;https://www.leprogres.fr/elections/resultats/election-presidentielle-2022?commune=42187;2-2;Correspond aux votes pour Macron, utilisé comme proxy pour l'idéologie centrale dans le quartier Centre Ville-Varenne.
Ideology;Right;36;Résultats élection présidentielle 2022;commune;https://www.leprogres.fr/elections/resultats/election-presidentielle-2022?commune=42187;3-3;Approximation basée sur la somme des votes pour les candidats de droite au 1er tour, utilisé comme proxy pour le quartier Centre Ville-Varenne.
Ideology;Non-ideological;4;Résultats élection présidentielle 2022;commune;https://www.leprogres.fr/elections/resultats/election-presidentielle-2022?commune=42187;4-4;Approximation basée sur les votes pour Lassalle et votes blancs/nuls, utilisé comme proxy pour le quartier Centre Ville-Varenne.
Ethnicity;No migration background;85;INSEE – Étrangers - Immigrés en 2018;commune;https://www.insee.fr/fr/statistiques/5397763?sommaire=5397790&geo=COM-42187;1-1;Approximation basée sur les données d'étrangers (9.4 %), assumant la majorité sans background migratoire, proxy pour le quartier Centre Ville-Varenne.
Ethnicity;Origin Europe;3;INSEE – Étrangers - Immigrés en 2018;commune;https://www.insee.fr/fr/statistiques/5397763?sommaire=5397790&geo=COM-42187;2-2;Approximation basée sur la distribution typique des origines migratoires.
Ethnicity;African Origin;8;INSEE – Étrangers - Immigrés en 2018;commune;https://www.insee.fr/fr/statistiques/5397763?sommaire=5397790&geo=COM-42187;3-3;Approximation basée sur la distribution typique des origines migratoires (Afrique majoritaire).
Ethnicity;Origin other regions;4;INSEE – Étrangers - Immigrés en 2018;commune;https://www.insee.fr/fr/statistiques/5397763?sommaire=5397790&geo=COM-42187;4-4;Approximation basée sur la distribution typique des origines migratoires.
MBTI;ISTJ;12.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;1-1;Proxy basé sur estimations typiques de distribution MBTI (moyenne des fourchettes US ajustée, pas de données spécifiques à la France ou au quartier).
MBTI;ISFJ;11.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;2-2;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;INFJ;2;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;3-3;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;INTJ;3;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;4-4;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ISTP;5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;5-5;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ISFP;7;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;6-6;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;INFP;4.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;7-7;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;INTP;4;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;8-8;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ESTP;4.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;9-9;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ESFP;6.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;10-10;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ENFP;7;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;11-11;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ENTP;4.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;12-12;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ESTJ;10;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;13-13;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ESFJ;11;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;14-14;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ENFJ;3.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;15-15;Proxy basé sur estimations typiques de distribution MBTI.
MBTI;ENTJ;3.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers–Briggs_Type_Indicator;16-16;Proxy basé sur estimations typiques de distribution MBTI.
