Characteristic;Category;Distribution;Dataset;Scope;URL;Index
Ideology;Right;44.7;Présidentielle 2022 (1er tour, Perreux) – RN+Reconquête+LR+DPA;commune;https://election-presidentielle.linternaute.com/resultats/perreux/ville-42170/;3-3
Ideology;Non-ideological;2.4;Présidentielle 2022 (1er tour, Perreux) – Lassalle;commune;https://election-presidentielle.linternaute.com/resultats/perreux/ville-42170/;4-4
Ethnicity;No migration background;82.0;INSEE – Population selon le pays de naissance des parents (2021, France);national;https://www.insee.fr/fr/statistiques/2381474;1-1
Ethnicity;Origin Europe;5.0;INSEE – Population selon le pays de naissance des parents (2021, France);national;https://www.insee.fr/fr/statistiques/2381474;2-2
Ethnicity;African Origin;9.0;INSEE – Population selon le pays de naissance des parents (2021, France);national;https://www.insee.fr/fr/statistiques/2381474;3-3
Ethnicity;Origin other regions;4.0;INSEE – Population selon le pays de naissance des parents (2021, France);national;https://www.insee.fr/fr/statistiques/2381474;4-4
MBTI;ISTJ;12.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;1-1
MBTI;ISFJ;11.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;2-2
MBTI;INFJ;2.0;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;3-3
MBTI;INTJ;3.0;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;4-4
MBTI;ISTP;5.0;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;5-5
MBTI;ISFP;7.0;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;6-6
MBTI;INFP;4.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;7-7
MBTI;INTP;4.0;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;8-8
MBTI;ESTP;4.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;9-9
MBTI;ESFP;6.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;10-10
MBTI;ENFP;7.0;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;11-11
MBTI;ENTP;4.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;12-12
MBTI;ESTJ;10.0;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;13-13
MBTI;ESFJ;11.0;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;14-14
MBTI;ENFJ;3.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;15-15
MBTI;ENTJ;3.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;16-16
