Characteristic;Category;Distribution;Dataset;Scope;URL;Index
MBTI;INFJ;2.0;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;3-3
MBTI;INTJ;3.0;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;4-4
MBTI;ISTP;5.0;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;5-5
MBTI;ISFP;7.0;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;6-6
MBTI;INFP;4.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;7-7
MBTI;INTP;4.0;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;8-8
MBTI;ESTP;4.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;9-9
MBTI;ESFP;6.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;10-10
MBTI;ENFP;7.0;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;11-11
MBTI;ENTP;4.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;12-12
MBTI;ESTJ;10.0;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;13-13
MBTI;ESFJ;11.0;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;14-14
MBTI;ENFJ;3.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;15-15
MBTI;ENTJ;3.5;MBTI distribution estimates;national;https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator;16-16
